% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
1013	5	1	1	0	28	9422	0	1	0
1023	5	1	1	0	28	9422	0	1	0
1063	5	1	1	0	28	9422	0	1	0
1073	5	1	1	0	28	9422	0	1	0
1113	5	1	1	0	28	9422	0	1	0
1123	5	1	1	0	28	9422	0	1	0
1163	5	1	1	0	28	9422	0	1	0
1173	5	1	1	0	28	9422	0	1	0
1213	5	1	1	0	28	9422	0	1	0
1223	5	1	1	0	28	9422	0	1	0
1263	5	1	1	0	28	9422	0	1	0
1273	5	1	1	0	28	9422	0	1	0
1313	5	1	1	0	28	9422	0	1	0
1323	5	1	1	0	28	9422	0	1	0
1363	5	1	1	0	28	9422	0	1	0
1373	5	1	1	0	28	9422	0	1	0
1413	5	1	1	0	28	9422	0	1	0
1423	5	1	1	0	28	9422	0	1	0
1463	5	1	1	0	28	9422	0	1	0
1473	5	1	1	0	28	9422	0	1	0
1513	5	1	1	0	28	9422	0	1	0
1523	5	1	1	0	28	9422	0	1	0
1563	5	1	1	0	28	9422	0	1	0
1573	5	1	1	0	28	9422	0	1	0
1613	5	1	1	0	28	9422	0	1	0
1623	5	1	1	0	28	9422	0	1	0
1663	5	1	1	0	28	9422	0	1	0
1673	5	1	1	0	28	9422	0	1	0
1713	5	1	1	0	28	9422	0	1	0
1723	5	1	1	0	28	9422	0	1	0
1763	5	1	1	0	28	9422	0	1	0
1773	5	1	1	0	28	9422	0	1	0
1813	5	1	1	0	28	9422	0	1	0
1823	5	1	1	0	28	9422	0	1	0
1863	5	1	1	0	28	9422	0	1	0
1873	5	1	1	0	28	9422	0	1	0
1913	5	1	1	0	28	9422	0	1	0
1923	5	1	1	0	28	9422	0	1	0
1963	5	1	1	0	28	9422	0	1	0
1973	5	1	1	0	28	9422	0	1	0
2013	5	1	1	0	28	9422	0	1	0
2023	5	1	1	0	28	9422	0	1	0
2063	5	1	1	0	28	9422	0	1	0
2073	5	1	1	0	28	9422	0	1	0
2113	5	1	1	0	28	9422	0	1	0
2123	5	1	1	0	28	9422	0	1	0
2163	5	1	1	0	28	9422	0	1	0
2173	5	1	1	0	28	9422	0	1	0
2213	5	1	1	0	28	9422	0	1	0
2223	5	1	1	0	28	9422	0	1	0
2263	5	1	1	0	28	9422	0	1	0
2273	5	1	1	0	28	9422	0	1	0
2313	5	1	1	0	28	9422	0	1	0
2323	5	1	1	0	28	9422	0	1	0
2363	5	1	1	0	28	9422	0	1	0
2373	5	1	1	0	28	9422	0	1	0
2413	5	1	1	0	28	9422	0	1	0
2423	5	1	1	0	28	9422	0	1	0
2463	5	1	1	0	28	9422	0	1	0
2473	5	1	1	0	28	9422	0	1	0
2513	5	1	1	0	28	9422	0	1	0
2523	5	1	1	0	28	9422	0	1	0
2563	5	1	1	0	28	9422	0	1	0
2573	5	1	1	0	28	9422	0	1	0
2613	5	1	1	0	28	9422	0	1	0
2623	5	1	1	0	28	9422	0	1	0
2663	5	1	1	0	28	9422	0	1	0
2673	5	1	1	0	28	9422	0	1	0
2713	5	1	1	0	28	9422	0	1	0
2723	5	1	1	0	28	9422	0	1	0
2763	5	1	1	0	28	9422	0	1	0
2773	5	1	1	0	28	9422	0	1	0
2813	5	1	1	0	28	9422	0	1	0
2823	5	1	1	0	28	9422	0	1	0
2863	5	1	1	0	28	9422	0	1	0
2873	5	1	1	0	28	9422	0	1	0
2913	5	1	1	0	28	9422	0	1	0
2923	5	1	1	0	28	9422	0	1	0
2963	5	1	1	0	28	9422	0	1	0
2973	5	1	1	0	28	9422	0	1	0
3013	5	1	1	0	28	9422	0	1	0
3023	5	1	1	0	28	9422	0	1	0
3063	5	1	1	0	28	9422	0	1	0
3073	5	1	1	0	28	9422	0	1	0
3113	5	1	1	0	28	9422	0	1	0
3123	5	1	1	0	28	9422	0	1	0
3163	5	1	1	0	28	9422	0	1	0
3173	5	1	1	0	28	9422	0	1	0
3213	5	1	1	0	28	9422	0	1	0
3223	5	1	1	0	28	9422	0	1	0
3263	5	1	1	0	28	9422	0	1	0
3273	5	1	1	0	28	9422	0	1	0
3313	5	1	1	0	28	9422	0	1	0
3323	5	1	1	0	28	9422	0	1	0
3363	5	1	1	0	28	9422	0	1	0
3373	5	1	1	0	28	9422	0	1	0
3413	5	1	1	0	28	9422	0	1	0
3423	5	1	1	0	28	9422	0	1	0
3463	5	1	1	0	28	9422	0	1	0
3473	5	1	1	0	28	9422	0	1	0
3513	5	1	1	0	28	9422	0	1	0
3523	5	1	1	0	28	9422	0	1	0
3563	5	1	1	0	28	9422	0	1	0
3573	5	1	1	0	28	9422	0	1	0
3613	5	1	1	0	28	9422	0	1	0
3623	5	1	1	0	28	9422	0	1	0
3663	5	1	1	0	28	9422	0	1	0
3673	5	1	1	0	28	9422	0	1	0
3713	5	1	1	0	28	9422	0	1	0
3723	5	1	1	0	28	9422	0	1	0
3763	5	1	1	0	28	9422	0	1	0
3773	5	1	1	0	28	9422	0	1	0
3813	5	1	1	0	28	9422	0	1	0
3823	5	1	1	0	28	9422	0	1	0
3863	5	1	1	0	28	9422	0	1	0
3873	5	1	1	0	28	9422	0	1	0
3913	5	1	1	0	28	9422	0	1	0
3923	5	1	1	0	28	9422	0	1	0
3963	5	1	1	0	28	9422	0	1	0
3973	5	1	1	0	28	9422	0	1	0
4013	5	1	1	0	28	9422	0	1	0
4023	5	1	1	0	28	9422	0	1	0
4063	5	1	1	0	28	9422	0	1	0
4073	5	1	1	0	28	9422	0	1	0
4113	5	1	1	0	28	9422	0	1	0
4123	5	1	1	0	28	9422	0	1	0
4163	5	1	1	0	28	9422	0	1	0
4173	5	1	1	0	28	9422	0	1	0
4213	5	1	1	0	28	9422	0	1	0
4223	5	1	1	0	28	9422	0	1	0
4263	5	1	1	0	28	9422	0	1	0
4273	5	1	1	0	28	9422	0	1	0
4313	5	1	1	0	28	9422	0	1	0
4323	5	1	1	0	28	9422	0	1	0
4363	5	1	1	0	28	9422	0	1	0
4373	5	1	1	0	28	9422	0	1	0
4413	5	1	1	0	28	9422	0	1	0
4423	5	1	1	0	28	9422	0	1	0
4463	5	1	1	0	28	9422	0	1	0
4473	5	1	1	0	28	9422	0	1	0
4513	5	1	1	0	28	9422	0	1	0
4523	5	1	1	0	28	9422	0	1	0
4563	5	1	1	0	28	9422	0	1	0
4573	5	1	1	0	28	9422	0	1	0
4613	5	1	1	0	28	9422	0	1	0
4623	5	1	1	0	28	9422	0	1	0
4663	5	1	1	0	28	9422	0	1	0
4673	5	1	1	0	28	9422	0	1	0
4713	5	1	1	0	28	9422	0	1	0
4723	5	1	1	0	28	9422	0	1	0
4763	5	1	1	0	28	9422	0	1	0
4773	5	1	1	0	28	9422	0	1	0
4813	5	1	1	0	28	9422	0	1	0
4823	5	1	1	0	28	9422	0	1	0
4863	5	1	1	0	28	9422	0	1	0
4873	5	1	1	0	28	9422	0	1	0
4913	5	1	1	0	28	9422	0	1	0
4923	5	1	1	0	28	9422	0	1	0
4963	5	1	1	0	28	9422	0	1	0
4973	5	1	1	0	28	9422	0	1	0
5013	5	1	1	0	28	9422	0	1	0
5023	5	1	1	0	28	9422	0	1	0
5063	5	1	1	0	28	9422	0	1	0
5073	5	1	1	0	28	9422	0	1	0
5113	5	1	1	0	28	9422	0	1	0
5123	5	1	1	0	28	9422	0	1	0
5163	5	1	1	0	28	9422	0	1	0
