% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
1.011	5	1	102	2	1	28	9422	0	0	0
1.021	5	1	103	2	1	28	9422	0	0	0
1.061	5	1	107	2	1	28	9422	0	0	0
1.071	5	1	108	2	1	28	9422	0	0	0
1.111	5	1	112	2	1	28	9422	0	0	0
1.121	5	1	113	2	1	28	9422	0	0	0
1.161	5	1	117	2	1	28	9422	0	0	0
1.171	5	1	118	2	1	28	9422	0	0	0
1.211	5	1	122	2	1	28	9422	0	0	0
1.221	5	1	123	2	1	28	9422	0	0	0
1.261	5	1	127	2	1	28	9422	0	0	0
1.271	5	1	128	2	1	28	9422	0	0	0
1.311	5	1	132	2	1	28	9422	0	0	0
1.321	5	1	133	2	1	28	9422	0	0	0
1.361	5	1	137	2	1	28	9422	0	0	0
1.371	5	1	138	2	1	28	9422	0	0	0
1.411	5	1	142	2	1	28	9422	0	0	0
1.421	5	1	143	2	1	28	9422	0	0	0
1.461	5	1	147	2	1	28	9422	0	0	0
1.471	5	1	148	2	1	28	9422	0	0	0
1.511	5	1	152	2	1	28	9422	0	0	0
1.521	5	1	153	2	1	28	9422	0	0	0
1.561	5	1	157	2	1	28	9422	0	0	0
1.571	5	1	158	2	1	28	9422	0	0	0
1.611	5	1	162	2	1	28	9422	0	0	0
1.621	5	1	163	2	1	28	9422	0	0	0
1.661	5	1	167	2	1	28	9422	0	0	0
1.671	5	1	168	2	1	28	9422	0	0	0
1.711	5	1	172	2	1	28	9422	0	0	0
1.721	5	1	173	2	1	28	9422	0	0	0
1.761	5	1	177	2	1	28	9422	0	0	0
1.771	5	1	178	2	1	28	9422	0	0	0
1.811	5	1	182	2	1	28	9422	0	0	0
1.821	5	1	183	2	1	28	9422	0	0	0
1.861	5	1	187	2	1	28	9422	0	0	0
1.871	5	1	188	2	1	28	9422	0	0	0
1.911	5	1	192	2	1	28	9422	0	0	0
1.921	5	1	193	2	1	28	9422	0	0	0
1.961	5	1	197	2	1	28	9422	0	0	0
1.971	5	1	198	2	1	28	9422	0	0	0
2.011	5	1	202	2	1	28	9422	0	0	0
2.021	5	1	203	2	1	28	9422	0	0	0
2.061	5	1	207	2	1	28	9422	0	0	0
2.071	5	1	208	2	1	28	9422	0	0	0
2.111	5	1	212	2	1	28	9422	0	0	0
2.121	5	1	213	2	1	28	9422	0	0	0
